,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
94,"1 bedroom - Private Patio/Balcony, Emergency Maintenance, Air Conditioning",2017-03-05 16:55,denver,6031166884,https://denver.craigslist.org/apa/6031166884.html,1.0,700.0,1325.0,https://denver.craigslist.org/reply/den/apa/6031166884,
95,Nice Lohi luxury apartment with GREAT Pricing (5 weeks of free rent) -,2017-03-05 16:55,denver,6014666025,https://denver.craigslist.org/apa/6014666025.html,1.0,661.0,1460.0,https://denver.craigslist.org/reply/den/apa/6014666025,
96,Let an EXPERT APT Finder! send you APARTMENTS and LOFTS~!,2017-03-05 16:55,denver,6007928804,https://denver.craigslist.org/apa/6007928804.html,1.0,700.0,1400.0,https://denver.craigslist.org/reply/den/apa/6007928804,
97,BRAND NEW renovated 2 bedroom under $1400!!,2017-03-05 16:55,denver,6031152732,https://denver.craigslist.org/apa/6031152732.html,2.0,885.0,1383.0,https://denver.craigslist.org/reply/den/apa/6031152732,
98,$99 SECURITY DEPOSIT!!! DOG PARK ONSITE!!!,2017-03-05 16:54,denver,6028273046,https://denver.craigslist.org/apa/6028273046.html,1.0,856.0,1230.0,https://denver.craigslist.org/reply/den/apa/6028273046,
99,"1 BR, 1 Bath at Link35! Brand New Building! Amazing Units!",2017-03-05 16:53,denver,6028352070,https://denver.craigslist.org/apa/6028352070.html,1.0,750.0,1425.0,https://denver.craigslist.org/reply/den/apa/6028352070,
0,There Is No Way We Can Call This A Studio!,2017-03-05 20:03,denver,6016582682,https://denver.craigslist.org/apa/6016582682.html,1.0,757.0,1585.0,https://denver.craigslist.org/reply/den/apa/6016582682,
1,Perfect 2 Br house for DU Students Available September 1st!,2017-03-05 19:53,denver,6004925452,https://denver.craigslist.org/apa/6004925452.html,2.0,1800.0,1800.0,https://denver.craigslist.org/reply/den/apa/6004925452,
2,"LoHi 2bdrm - Cute, Clean, and Crazy Convenient",2017-03-05 19:51,denver,6031353520,https://denver.craigslist.org/apa/6031353520.html,2.0,825.0,1850.0,https://denver.craigslist.org/reply/den/apa/6031353520,
3,"NO RENT UNTIL APRIL Gated Entrance, Public Transportation, W/D in Unit",2017-03-05 19:44,denver,6023933180,https://denver.craigslist.org/apa/6023933180.html,1.0,745.0,1730.0,https://denver.craigslist.org/reply/den/apa/6023933180,
4,Charming brick home in central Denver (Hilltop/Lowry/Montclair),2017-03-05 19:36,denver,6006419206,https://denver.craigslist.org/apa/6006419206.html,2.0,1122.0,1700.0,https://denver.craigslist.org/reply/den/apa/6006419206,
5,"2 Bed/2 Bath, Spacious closets, Cozy fireplaces",2017-03-05 19:31,denver,6025594773,https://denver.craigslist.org/apa/6025594773.html,2.0,1103.0,1843.0,https://denver.craigslist.org/reply/den/apa/6025594773,
6,"Outdoor Grilling Area, Gas Fireplace in select homes, Air Conditioning",2017-03-05 19:17,denver,6013941358,https://denver.craigslist.org/apa/6013941358.html,3.0,,1919.0,https://denver.craigslist.org/reply/den/apa/6013941358,
7,"Spacious Closets, Mountain View, Walk to 16th St. Mall",2017-03-05 19:04,denver,6028536617,https://denver.craigslist.org/apa/6028536617.html,1.0,661.0,1506.0,https://denver.craigslist.org/reply/den/apa/6028536617,
8,$1800/2br/1ba,2017-03-05 18:58,denver,6031302863,https://denver.craigslist.org/apa/6031302863.html,2.0,840.0,1800.0,https://denver.craigslist.org/reply/den/apa/6031302863,
9,1/2 Duplex for Rent in March!,2017-03-05 18:53,denver,6021006459,https://denver.craigslist.org/apa/6021006459.html,3.0,,1800.0,https://denver.craigslist.org/reply/den/apa/6021006459,
10,WOW! What a view!  Gorgeous condo for rent,2017-03-05 18:51,denver,6024355861,https://denver.craigslist.org/apa/6024355861.html,2.0,1200.0,1500.0,https://denver.craigslist.org/reply/den/apa/6024355861,
11,"Outdoor Grilling Area, Near Park Meadows Mall, White Shaker Cabinets",2017-03-05 18:50,denver,6028483462,https://denver.craigslist.org/apa/6028483462.html,3.0,1330.0,1974.0,https://denver.craigslist.org/reply/den/apa/6028483462,
12,"Bike storage, Reserved parking garage, Stainless steel double sinks",2017-03-05 18:46,denver,6028358561,https://denver.craigslist.org/apa/6028358561.html,1.0,,1738.0,https://denver.craigslist.org/reply/den/apa/6028358561,
13,1738 Verbena Terrific Updated 3 Bedroom Home,2017-03-05 18:36,denver,6017079970,https://denver.craigslist.org/apa/6017079970.html,3.0,1129.0,1850.0,https://denver.craigslist.org/reply/den/apa/6017079970,
14,Well-maintained Home in Quiet Family Neighborhood,2017-03-05 18:34,denver,6022019930,https://denver.craigslist.org/apa/6022019930.html,3.0,1857.0,1995.0,https://denver.craigslist.org/reply/den/apa/6022019930,
15,$99 SECURITY DEPOSIT!!! CUDDLE UP BY THE FIRE AT WESTCLIFF!!!,2017-03-05 18:31,denver,6028242607,https://denver.craigslist.org/apa/6028242607.html,3.0,1797.0,1910.0,https://denver.craigslist.org/reply/den/apa/6028242607,
16,Capitol Hill  * 1Bd+Den * Wood Flrs * Granite * W/D * Parking!,2017-03-05 18:30,denver,6031274579,https://denver.craigslist.org/apa/6031274579.html,1.0,1090.0,1750.0,https://denver.craigslist.org/reply/den/apa/6031274579,
17,"Eat-In Kitchen, Private Balcony, Walk to 16th St. Mall",2017-03-05 18:29,denver,6028536884,https://denver.craigslist.org/apa/6028536884.html,1.0,910.0,1845.0,https://denver.craigslist.org/reply/den/apa/6028536884,
18,Rent-able Common Spaces - 2 Guest Suites on Site,2017-03-05 18:25,denver,6031268283,https://denver.craigslist.org/apa/6031268283.html,2.0,1040.0,1636.0,https://denver.craigslist.org/reply/den/apa/6031268283,
19,"Incredibly spacious, fully renovated 2B/2B",2017-03-05 18:21,denver,6031264648,https://denver.craigslist.org/apa/6031264648.html,2.0,1312.0,1591.0,https://denver.craigslist.org/reply/den/apa/6031264648,
20,"Gorgeous one bedroom, very spacious, FREE parking!",2017-03-05 18:13,denver,6008315426,https://denver.craigslist.org/apa/6008315426.html,1.0,930.0,1517.0,https://denver.craigslist.org/reply/den/apa/6008315426,
21,Beautiful House for Rent in Westminster,2017-03-05 18:13,denver,6031255134,https://denver.craigslist.org/apa/6031255134.html,2.0,,1800.0,https://denver.craigslist.org/reply/den/apa/6031255134,
22,New Low Prices! Come Tour Today!,2017-03-05 18:12,denver,6031238952,https://denver.craigslist.org/apa/6031238952.html,1.0,786.0,1529.0,https://denver.craigslist.org/reply/den/apa/6031238952,
23,">>>> House for Rent-- New Updates, Fenced Yard, Close to Downtown",2017-03-05 18:02,denver,6031237091,https://denver.craigslist.org/apa/6031237091.html,2.0,1200.0,1675.0,https://denver.craigslist.org/reply/den/apa/6031237091,
24,Get to Lugano to tour right MEOW! (^@@^),2017-03-05 18:02,denver,6013492330,https://denver.craigslist.org/apa/6013492330.html,2.0,1292.0,1877.0,https://denver.craigslist.org/reply/den/apa/6013492330,
